mint,disc_6h,disc_24h,surv_24h,disc_accel,regime_scans_24h,pre_bars,pre_res_s,r_5m,r_15m,r_30m,r_60m,range_30m,vol_accel,above_first
HcFUgXHEJWjZfDFvyFXDfVRkq5VTzJCfXNpJtcQ3pump,158,612,53,0.34801762114537443,11,16,3600,nan,nan,nan,0.08747856982327851,0.28241044955757894,0.9590664832375574,12.180697588861495
HCkhfdDNF2dqMxxtL51AzgWU26MBNkUkEzGAHtqkpump,209,538,50,0.6352583586626139,10,6,3600,nan,nan,nan,-0.13994785456188152,0.6045388723429127,2.549376125977352,0.43769197776213153
Bi7X9vxqGozZoXvgyJ2y9tzdKQ1QVpt5LjYF8PoFpump,209,538,50,0.6352583586626139,10,,,,,,,,,
76djbEspuQ75GnySUZXae93xpi4x3rrE31ALdC6Lpump,209,538,50,0.6352583586626139,10,,,,,,,,,
9Hoc6LmvUvEMUvNwp8qY8xv6uUSXz6ZupJkWQdeUpump,209,538,50,0.6352583586626139,10,,,,,,,,,
HSKS5CAuEJpFZYinAVmR35H765wv4nyuhsAd48Tpump,207,536,57,0.6291793313069909,10,5,3600,nan,nan,nan,-0.23414815642901654,0.5432374532644806,0.4263295372192724,0.4190442454755594
GmomouzGr7a1Y7yp8RxM6a29iZFE1B5RrfPQdRggpump,207,536,57,0.6291793313069909,10,,,,,,,,,
BqkHUTJA5uBVUsFSQcGHgwjExHEWBekexXHt7FPtpump,213,534,61,0.6635514018691588,10,,,,,,,,,
BtUiqGdsW3H47yvtyKSLhQfzVpwov3wyYY6qssU9pump,163,538,67,0.43466666666666665,10,,,,,,,,,
HbugFhaL4ijduGiHcY4uT6CNgX58Qac9djsAFo7Dpump,163,538,67,0.43466666666666665,10,120,3600,nan,nan,nan,-0.018476895617971945,0.05092113375564524,0.2039424723946733,0.8395554521532449
FtxMtQmupaXuMX14EA8esBp13qWF4xfgij2BG6U3pump,99,525,62,0.2323943661971831,10,,,,,,,,,
Db3FyrbovdsJWXaCBvE24P31uheKQH58cfpqWsXcpump,151,577,72,0.3544600938967136,11,,,,,,,,,
USZCppow9iT4f8kPF9d9Ww2BMriiwgfKtAh1F4Kpump,151,577,72,0.3544600938967136,11,,,,,,,,,
BmSjM7C7VRhznMMVzXidgyuE5ehvTHbRr1uGe2xFpump,151,577,72,0.3544600938967136,11,,,,,,,,,
9y6hXFBFN1fJGfAAYgkXVVfQATG1mEJsmTrCXcT6pump,151,577,72,0.3544600938967136,11,53,3600,nan,nan,nan,-0.2003052658001333,0.9552929172283313,1.2305289400250359,2.160116243290962
DAf8sUut8ViuvqkjNoLGTiWwsLrXsYzrkmhQpN9Vpump,149,573,77,0.35141509433962265,11,,,,,,,,,
Ct2VDLuBanTr6jo8jHXQtZqncwxtN31aovHC1yDepump,149,573,77,0.35141509433962265,11,,,,,,,,,
DXBfgTuGuYxpWM69NQ1eJjDseQnRUSt6esVnc7eXpump,149,573,77,0.35141509433962265,11,,,,,,,,,
4Y8KxA9oMURfSv9bSnYESDMsrJfUKB9H7bdCkGYWpump,152,568,79,0.36538461538461536,11,6,3600,nan,nan,nan,0.2846968165658812,0.7947302024335521,1.872484094368074,-0.2919571168518075
CLmUnekzkn37Zvut6S7VP5c76MmymLuG8cTUWpzHpump,196,563,82,0.5340599455040872,11,73,900,nan,0.16844505054522885,0.14480295126840814,0.23800283646440312,0.15513679505700584,0.13455612457179264,2.6739699318189314
6RhD69zL61vW8cqsa1iMentAmb3bQynh9Wf5LmK5pump,196,560,87,0.5384615384615384,11,,,,,,,,,
EWxEchHjnza3Q3BdQ8AfrvgrmsF1H8kn3gkXo1W9pump,196,560,87,0.5384615384615384,11,14,3600,nan,nan,nan,0.3399928937801502,0.27766384803743605,0.9407039755104654,-0.08171339217934537
HVK9N6tuuRNrAP2PjuZgnphpaqNhfEdVoMm2kGEHpump,196,560,87,0.5384615384615384,11,,,,,,,,,
AejbCpYysBiMAvLgwN6bjPYfELPEosYv7HYjXe94pump,238,599,88,0.6592797783933518,12,,,,,,,,,
BgkqjKuiNvS7UrqxzffCVYAuiFm8PfBRC2rmLv9Epump,189,584,79,0.47848101265822784,12,6,3600,nan,nan,nan,0.5577879572080584,0.5619821761557675,0.9147057597468878,0.054850626793707
EQ6qQsweDhsdYqbYMv4J2dTZwEMvnETQH9rQHr9fpump,146,635,86,0.2985685071574642,13,,,,,,,,,
6hKk9ymYMejWURC1GhKj66Rwcn6VNnHHe1E3JgE4pump,146,635,86,0.2985685071574642,13,,,,,,,,,
CzKMUSKADdHuyjmWsedeUQLCcTRFBbEVg4qvxwd9pump,146,635,86,0.2985685071574642,13,,,,,,,,,
FkJrB7LPuvDbwoWxfcqXEXyvtjXYFims4CNiQecmpump,194,679,95,0.4,14,,,,,,,,,
7RJiGtMVxih75Z4EKY9NdyhRmDPBChzuEfQatZ4Spump,194,679,95,0.4,14,,,,,,,,,
AFNjXHtaZ9DYRWWAnvJQYx6NexJyD7uyw3YgqWAspump,237,722,101,0.488659793814433,15,25,3600,nan,nan,nan,-0.1167391312091246,0.2526649031789683,1.0996051249468135,-0.061939667613094995
HyrcSV3oQkS763vWNdqP5vhDcfvnesCFqqe37nXpump,235,719,97,0.4855371900826446,15,,,,,,,,,
DUYw2p3NC6zDdsSrazV4JdDFKtRk2K4mw764EWs2pump,235,719,97,0.4855371900826446,15,,,,,,,,,
7NTs9FPw7tP2Bfjcn8eAJZUr4ApG8n9ZbXkT7Adwpump,230,760,95,0.4339622641509434,16,8,3600,nan,nan,nan,-0.07504239563731341,0.5137673688445293,0.7252214734377869,1.554326445682276
5xaiHuB35juMsQzWaWaPLTc6eQsLRcDzg3gFzPJKpump,236,811,100,0.41043478260869565,17,,,,,,,,,
AcBFpes1zvKPmsPTSMXaZWiEFpWZ5KZ7SmnbZbgepump,236,811,100,0.41043478260869565,17,,,,,,,,,
Bu3hbyUd9qgDWv4vrrKDk3mWR8LDcs7tiZrmjRrzpump,236,811,100,0.41043478260869565,17,,,,,,,,,
5JjFreTGbXDgTEC2DJzr12PLJDYpczJXKvFZEfbdpump,236,811,100,0.41043478260869565,17,,,,,,,,,
CizcDa22HJjXybKLriibqP167GcJjqiDHDPtuiMmpump,235,805,94,0.41228070175438597,17,120,3600,nan,nan,nan,-0.15294795003176143,0.32788306257518923,1.832295812380276,21.58837458102738
CLGkHAUpMFBDZjzcLPnrA5BwtXF2sCUkxpCzB7Ze42n9,285,811,93,0.5418250950570342,17,,,,,,,,,
