scan_ts,discovered,enriched,n_survivors,n_a
1786084558.418968,60,59,4,1
1786089314.0982184,60,54,4,1
1786093966.451117,60,52,4,1
1786097678.1732495,60,50,3,1
1786101074.2523072,60,55,4,1
1786104052.7454412,60,51,5,1
1786109030.0000088,60,50,6,1
1786113270.5863686,59,50,7,1
1786116640.957802,60,51,11,1
1786120085.6799223,58,48,11,1
1786123684.621609,60,51,7,1
1786127193.4109972,60,51,3,0
1786131302.5393739,60,51,4,0
1786133893.9106495,60,53,2,0
1786136637.7527177,60,50,2,0
1786139489.989314,60,54,4,0
1786141304.785775,60,53,3,0
1786143637.9927576,60,50,6,0
1786146117.7525036,60,50,3,0
1786149233.003375,60,51,1,0
1786156306.9931798,60,52,3,0
1786161196.3231063,60,57,5,0
1786165626.4262402,60,52,5,0
1786168412.8761654,60,52,4,0
1786172844.5468764,60,52,6,0
1786176204.1094997,60,53,6,0
1786179271.4342124,60,50,7,0
1786182566.501785,60,53,4,0
1786184184.2714448,60,56,4,0
1786186472.780042,60,52,3,0
1786189029.8847537,60,58,4,0
1786190353.9613323,60,57,5,0
1786194397.6517334,60,56,3,0
1786197241.581297,60,56,6,0
1786200096.528227,60,54,10,0
1786202005.977151,60,50,8,0
1786204202.8276715,60,52,4,0
1786205699.721855,60,53,3,0
1786208190.3440242,60,57,3,0
1786210773.8825123,60,51,2,0
1786212926.0161088,60,53,3,1
1786215798.845528,60,53,3,1
1786217899.2931125,60,54,3,1
1786219904.6476145,60,52,2,1
1786222340.477675,60,53,5,1
1786223899.533836,60,53,5,1
1786225829.57289,60,52,7,1
1786227184.476395,60,51,2,1
1786229455.8619494,60,54,1,0
1786230831.0456004,60,51,3,1
1786232911.863889,60,58,2,1
1786235818.88226,60,52,1,0
1786243744.7347162,60,56,2,0
1786248307.0752664,60,53,1,0
1786252514.6764705,60,52,4,0
1786255346.9038038,60,53,3,0
1786259392.08791,60,51,2,0
1786262685.0179095,60,55,6,0
1786265816.3984036,60,53,3,0
1786269056.2924514,60,56,4,0
1786270736.4797294,60,54,4,0
1786273012.952193,60,57,3,0
1786275510.3799725,60,56,2,0
1786277854.6944385,60,54,4,0
1786281852.0352156,60,57,4,0
1786284612.6119409,60,52,5,0
1786287347.844801,59,49,4,0
1786290023.06825,60,55,3,0
1786292124.023538,60,50,5,0
1786294741.093513,60,53,6,0
1786297211.002999,60,50,3,0
1786299422.2487192,60,52,4,0
1786302351.583141,60,52,5,0
1786304701.410032,59,49,3,0
1786306385.1926382,58,48,3,0
1786308929.0353906,60,50,3,0
1786311729.975428,60,53,4,0
1786313611.0531578,60,50,4,0
1786316028.8817043,60,57,4,0
1786318833.2322786,60,52,5,0
1786322291.6815977,60,54,4,0
1786330886.9404392,60,53,2,0
1786337235.3582287,60,50,2,0
1786341797.446872,60,53,3,0
1786348740.236235,60,56,6,1
1786354980.7531564,60,53,8,1
1786359052.1478274,60,50,8,1
1786361871.7691379,60,52,9,1
1786365303.5051384,60,50,11,1
1786370516.2363555,60,50,8,0
1786374588.736078,60,50,8,0
1786378338.0824606,53,43,9,1
1786381995.5730684,60,50,3,1
1786385210.9006567,60,51,3,0
1786389147.791511,60,52,4,0
1786392288.3806615,60,52,2,0
1786395424.3283577,60,56,5,0
1786398745.3985655,60,51,5,0
1786402249.62296,60,51,4,0
1786404094.3460865,60,55,2,0
1786406135.3752367,60,51,5,0
1786414861.5732226,60,53,3,0
1786420656.2487879,60,57,4,0
1786425432.9529905,60,55,2,0
1786428501.290453,60,54,2,0
1786434091.975722,60,57,3,1
1786437542.5462582,60,55,5,1
1786441492.8525817,60,57,4,1
1786444638.277939,60,54,3,1
1786448005.0085535,60,55,4,1
1786451151.4280453,60,51,5,1
1786456885.0101957,60,52,1,1
1786461032.9674122,60,52,4,1
1786464800.197141,60,52,4,1
1786468570.7675512,60,51,4,1
1786471811.3656352,60,51,3,1
1786476570.0737834,60,52,3,1
1786479572.340021,60,52,3,1
1786482545.543362,60,51,3,1
1786486101.0193298,60,58,3,1
1786489645.2346838,60,52,3,1
1786492955.5285437,60,53,3,1
1786502239.9382107,60,53,7,0
1786508953.0425818,59,54,4,0
1786514511.3698885,57,48,7,0
1786520743.6997414,57,47,11,1
1786524852.5454926,60,50,9,1
1786529780.8319373,60,50,11,2
1786533140.8102272,60,51,11,2
1786536134.3634448,60,58,8,1
1786541785.5847156,59,49,9,1
1786545664.267759,60,50,9,1
1786549380.135588,60,56,10,1
1786552814.7075255,60,50,5,0
1786556716.714575,60,50,8,0
1786560015.3819222,60,50,4,0
1786564317.5753322,60,56,3,0
1786566524.0657926,60,53,4,0
1786569854.6304812,60,54,5,0
1786573272.8326874,60,50,5,0
1786576011.8070767,60,50,6,0
1786578884.4220936,60,50,5,0
1786588725.2485049,60,50,6,0
1786595538.7768855,60,53,6,0
1786600967.0453794,56,50,8,0
1786607224.280867,60,52,6,0
1786611382.5892432,60,59,7,0
1786616278.0136685,60,54,5,0
1786619621.452817,60,50,6,0
1786622576.426801,60,52,5,0
1786628287.954306,60,51,6,0
1786632406.961695,58,48,8,0
1786635781.8253202,57,47,8,1
1786639177.9193504,59,49,9,1
1786643089.061939,58,48,6,0
1786646451.1308944,60,54,8,0
1786650418.0597029,60,50,7,0
1786652622.939332,60,50,7,0
1786656313.161845,60,50,7,0
1786659677.9809728,60,51,6,0
1786662485.734229,60,52,6,0
1786665700.3116124,60,53,6,0
1786675020.8707078,54,44,3,0
1786681539.6919997,55,45,9,0
1786687354.8391888,55,45,7,0
1786693515.950373,60,55,5,0
1786697439.4231653,59,49,5,0
1786700830.9338763,60,50,6,0
1786704212.8122642,60,50,5,0
1786707167.4266875,60,51,6,0
1786710321.1130955,60,52,4,0
1786715878.1269147,60,51,4,0
1786719703.0740256,60,50,4,0
1786723211.4153874,60,55,6,0
1786726989.6135645,60,52,5,0
1786730359.877732,60,51,4,0
1786734406.0413127,60,51,4,0
1786737193.7697494,60,51,5,0
1786739911.3575957,60,50,4,0
1786741821.272561,60,50,4,0
1786743826.6086693,60,51,5,0
1786744922.646293,60,51,4,0
1786746805.5095303,60,51,5,0
1786748102.0367754,60,50,5,0
1786750246.9897442,60,50,4,0
